,sample1,sample2,sample3
AT2G31725,722.1707205,714.2527894,858.1298619
AT2G31730,1428.340613,2138.989224,1728.965519
AT2G31740,1417.673394,1536.868469,1482.668565
AT2G31750,391.4869342,422.1441288,430.0422998
AT2G31751,421.3551471,473.9698589,464.25021
AT2G08445,5.333609457,6.596002013,3.909475453
AT2G08450,0,1.884572004,3.909475453
AT2G08455,7.46705324,14.13429003,12.70579522
AT2G08460,7.46705324,14.13429003,12.70579522
AT2G08465,2.133443783,0,1.954737726
AT2G31760,6.400331349,21.67257804,7.818950905
AT2G31770,4.266887566,24.49943605,18.5700084
AT2G31780,17.06755026,12.24971802,14.66053295
AT2G31790,493.8922357,637.9276232,546.3491945
AT2G08470,235.745538,293.0509466,280.5048637
AT2G31800,1202.195572,916.8442798,1168.93316
AT2G31810,2159.045108,1654.654219,2849.030236
AT2G31820,912.0472172,800.9431016,704.6829503
AT2G31830,353.0849461,230.8600705,264.8669619
AT2G31840,948.3157615,1116.608912,860.0845996
AT2G31850,0,0,0
AT2G31862,0,0,0
AT2G31865,89.60463888,125.3240382,88.94056655
AT2G31870,311.4827923,374.0875427,314.7127739
AT2G31880,805.375028,755.7133735,741.8229671
AT2G08475,122.6730175,201.6492044,153.4469115
AT2G31890,1305.667595,1417.198147,1177.72948
AT2G08480,197.3435499,312.8389526,196.4511415
AT2G31900,448.0231944,441.9321349,379.2191189
AT2G31902,421.3551471,402.3561228,371.400168
AT2G08485,68.27020105,73.49830814,80.14424678
AT2G31910,70.40364484,113.0743202,109.4653127
AT2G08490,0,0,0
AT2G31920,101.3385797,135.6891843,152.4695427
AT2G31940,41.60215377,66.90230613,51.80054975
AT2G31945,27.73476918,0,1.954737726
AT2G31953,0,0,0
AT2G31955,670.9680697,429.6824168,521.9149729
AT2G31960,2974.020633,3149.119818,2711.221226
AT2G08500,43.73559755,26.38400805,15.63790181
AT2G31970,2285.985013,2176.680664,2238.174697
AT2G31980,7534.256719,202.5914904,164.197969
AT2G31981,0,0.942286002,0
AT2G31990,36.26854431,39.57601208,14.66053295
AT2G31985,131.2067926,4.711430009,0
AT2G32000,1196.861962,1330.507835,1270.579522
AT2G32010,962.1831461,979.9774419,787.7593037
AT2G32020,2.133443783,0,5.864213179
AT2G32030,13.86738459,2.826858006,9.773688632
